pyClassName,pyPropertyName,pyPropertyMode,pyPageClass,pyStringType,pyTextValue(1),pxUpdateDateTime,pxUpdateOpName,pzInsKey
NFCU-Data-ACCT-Account-Len,QuarterToDateFeeIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:40.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN QUARTERTODATEFEEINCOME #20201228T214940.765 GMT
NFCU-Data-ACCT-Account-Len,CreditAvailableAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-11,35:37.3,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CREDITAVAILABLEAMOUNT #20221220T213537.285 GMT
NFCU-Data-ACCT-Account-Len,FullPaymentStmtAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-11,35:37.8,Prashant Hegu,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN FULLPAYMENTSTMTAMOUNT #20221220T213537.802 GMT
NFCU-Data-ACCT-Account-Len,NextPaymentDueDate,String,NULL,Date,NFCU-Data-Account:01-01-01,49:31.5,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN NEXTPAYMENTDUEDATE #20201228T214931.474 GMT
NFCU-Data-ACCT-Account-Len,LifetimePaymentProtectionPlanIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:23.7,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LIFETIMEPAYMENTPROTECTIONPLANINCOME #20201228T214923.693 GMT
NFCU-Data-ACCT-Account-Len,YearToDateFeeIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:55.5,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN YEARTODATEFEEINCOME #20201228T214955.491 GMT
NFCU-Data-ACCT-Account-Len,LoanOriginationDate,String,NULL,Date,NFCU-Data-Account:01-01-01,49:25.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN LOANORIGINATIONDATE #20201228T214925.768 GMT
NFCU-Data-ACCT-Account-Len,PaymentType,String,NULL,Text,NFCU-Data-Account:01-01-01,35:32.9,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PAYMENTTYPE #20210209T223532.946 GMT
NFCU-Data-ACCT-Account-Len,MonthToDatePayProtectPlanIncome,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:30.0,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN MONTHTODATEPAYPROTECTPLANINCOME #20201228T214930.035 GMT
NFCU-Data-ACCT-Account-Len,CustomFieldsPageList,PageList,Embed-CustomFieldsList,Text,NFCU-Data-Account:01-01-10,18:03.6,Anitha Ankamareddi,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN CUSTOMFIELDSPAGELIST #20221125T171803.568 GMT
NFCU-Data-ACCT-Account-Len,PeriodInterestAmount,String,NULL,Decimal,NFCU-Data-Account:01-01-01,49:35.8,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN PERIODINTERESTAMOUNT #20201228T214935.831 GMT
NFCU-Data-ACCT-Account-Len,InitialAmortizationMonthCount,String,NULL,Integer,NFCU-Data-Account:01-01-01,49:18.7,ronny martinez calderon,RULE-OBJ-PROPERTY NFCU-DATA-ACCT-ACCOUNT-LEN INITIALAMORTIZATIONMONTHCOUNT #20201228T214918.655 GMT
